afra_compounds,canonical_smiles,mol,morgan_fp,Predicted_Probability,Predicted_Class
"1,8-cineole",CC1(C2CCC(O1)(CC2)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a30999a14d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3080860f20>,0.5175300164727755,1
1-epi-cubenol,CC1CCC(C2C1(CCC(=C2)C)O)C(C)C ,<rdkit.Chem.rdchem.Mol object at 0x7a30529afc30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2c70>,0.6147810586460429,1
1-Octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2c00>,1.0,1
1-octen-3-ol,CCCCCC(C=C)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c6d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2b90>,1.0,1
"2,4-Dihydroxy-6 methoxyacetophenone",CC(=O)C1=C(C=C(C=C1OC)O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c0b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2ce0>,0.6002920383390373,1
2-methyl butyl isovalerate,CCC(C)COC(=O)CC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2d50>,1.0,1
3-thujanone,C[C@@H]1[C@@H]2C[C@]2(CC1=O)C(C)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2dc0>,0.6147810586460429,1
4-O-Methylglucuronic acid,CO[C@@H]([C@@H]([C@H](C=O)O)O)[C@@H](C(=O)O)O ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2e30>,1.0,1
4-terpineol,CC1=CCC(CC1)(C(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2ea0>,0.6147810586460429,1
Arabinose,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2f10>,0.5251115283124841,1
ar-curcumene,CC1=CC=C(C=C1)[C@@H](C)CCC=C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2f80>,0.6002920383390373,1
Arteannuin P,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2ff0>,0.6147810586460429,1
Arteannuin T,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd30d0>,0.6147810586460429,1
Artemin,CC1C2CCC3(C(CCC(=C)C3(C2OC1=O)O)O)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c2e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd3140>,0.8904432824184437,1
artemisal, C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)C(=O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd31b0>,0.6147810586460429,1
